"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","69.67","","","","2"
"2006","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","77.82","","","","2"
"2007","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","60.71","","","","2"
"2008","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","71.12","","","","2"
"2009","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","68.58","","","","2"
"2010","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","66.72","","","","2"
"2011","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","56.82","","","","2"
"2012","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","63.81","","","","2"
"2013","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","53.58","","","","2"
"2014","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","60.37","","","","2"
"2015","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","65.12","","","","2"
"2016","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","69.92","","","","2"
"2017","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","73.73","","","","2"
"2018","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","61.94","","","","2"
"2019","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","75.28","","","","2"
"2020","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","60.67","","","","2"
"2021","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","65.53","","","","2"
"2022","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","63.76","","","","2"
"2001","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","0.00","","","","2"
"2002","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","0.00","","","","2"
"2003","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","46.85","","","","2"
"2004","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","33.72","","","","2"
"2005","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","29.86","","","","2"
"2006","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","22.35","","","","2"
"2007","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","34.05","","","","2"
"2008","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","27.91","","","","2"
"2009","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","43.42","","","","2"
"2010","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","38.26","","","","2"
"2011","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","31.62","","","","2"
"2012","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","27.52","","","","2"
"2013","Killarney, Manitoba, Royal Canadian Mounted Police, rural [46014]","2021A002546014","Crime severity index","Index","160","units","0","v66448080","7.1","31.08","","","","2"
