"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","165.86","","","","2"
"2011","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","144.62","","","","2"
"2012","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","133.30","","","","2"
"2013","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","140.15","","","","2"
"2014","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","140.91","","","","2"
"2015","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","132.74","","","","2"
"2016","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","143.33","","","","2"
"2017","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","154.36","","","","2"
"2018","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","171.17","","","","2"
"2019","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","199.22","","","","2"
"2020","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","204.70","","","","2"
